TICKER_ID,TICKER,TICKER_NAME                                                ,SECTOR_ID,SECTOR          ,INDUSTRY                                ,INDEX_ID,INDEX ,DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1,ADS   ,Adidas AG                                                  ,4,Consumer Goods  ,Textile - Apparel Footwear & Accessories,1,DAX   ,Adidas AG and its subsidiaries engage in designing; developing; producing; and marketing a range of athletic and sports lifestyle products worldwide. It offers footwear; apparel; and hardware; such as bags and balls primarily under the adidas and Reebok brands. The company operates in six segments: Wholesale; Retail; TaylorMade-adidas Golf; Rockport; Reebok-CCM Hockey; and Other Centrally Managed Brands. The Wholesale segment is involved in various business activities related to the distribution of adidas and Reebok products to retail customers. The Retail segment engages in various business activities related to the sale of adidas and Reebok products directly to consumers through its retail and e-commerce platforms. As of December 31; 2011; this segment operated 2;401 stores; including 1;804 stores under the addidas brand and 597 stores under the Reebok name. The TaylorMade-adidas Golf segment provides three brands comprising TaylorMade that designs; develops; and assembles golf clubs; balls; and accessories; adidas Golf consisting of foot wear; apparel; and accessories; and Ashworth brand; which designs and distributes menâs and womenâs lifestyle sports wear. The Rockport segment primarily designs and markets leather footwear for men and women. The Reebok-CCM Hockey segment designs; produces; and markets hockey equipment; such as sticks and skates; as well as apparel primarily under the Reebok Hockey and CCM brands. The Other Centrally Managed Brands segment designs and distributes footwear and apparel. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in May 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach; Germany.                                                                                                                                                                                                                                                                                             
2,ALV   ,Allianz SE                                                 ,5,Financial       ,Property & Casualty Insurance           ,1,DAX   ,Allianz SE; together with its subsidiaries; primarily engages in property and casualty insurance; life and health insurance; and asset management businesses worldwide. Its Property-Casualty segment offers various insurance products; including motor liability and own damage; accident; general liability; fire and property; legal expense; credit; and travel insurance products to private and corporate customers. The companyâs Life/Health segment provides a range of life and health insurance products on individual and group basis comprising annuity; endowment and term insurance; and unit-linked and investment-oriented products; as well as private and supplemental health and long-term care insurance products. Its Asset Management segment provides institutional and retail asset management products and services to third-party investors; including equity and fixed income funds; as well as alternative products. Allianz SE also offers various banking products for corporate and retail clients; and provides alternative investment management services in the private equity; real estate; renewable energy; and infrastructure sectors. The company was formerly known as Allianz AG and changed its name to Allianz SE in 2006. Allianz SE was founded in 1889 and is headquartered in Munich; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3,BAS   ,BASF SE                                                    ,1,Basic Materials ,Chemicals - Major Diversified           ,1,DAX   ,BASF SE operates as a chemical company worldwide. Its Chemicals segment provides primarily basic chemicals; glues; and electronic chemicals for the semiconductor and solar cell industries; solvents and plasticizers; and starting materials for detergents; plastics; textile fibers; paints and coatings; and pharmaceuticals. The companyâs Plastics segment supplies engineering plastics; polyamides and polyamide intermediates; foams; and specialty plastics; and polyurethanes for construction; automotive; electrical and electronics; textile; packaging; and furniture industries. Its Performance Products segment offers dispersions and pigments for the formulation of varnishes; coatings; printing and packaging inks; adhesives; and construction materials; care chemicals for hygiene; personal care; home care; and industrial and institutional cleaning businesses; products for the food and feed; flavor and fragrance; pharmaceutical; and paper industries; and solutions for industrial applications. The companyâs Functional Solutions segment offers automotive and process catalysts; automotive and industrial coatings; concrete admixtures; tile adhesives; and architectural coatings. BASF SEâs Agricultural Solutions segment provides fungicides; herbicides; and insecticides; seed treatment products; and pest control products for public health; professional pest control; and landscape maintainence. Its Oil and Gas segment engages in the exploration and production of crude oil and natural gas in Europe; Russia; the Caspian Sea region; North Africa; the Middle East; and South America; as well as trades in; transports; and stores natural gas in Europe. The company was founded in 1865 and is based in Ludwigshafen; Germany.                                                                                                                                                                                                                                                                         
4,BAYN  ,Bayer AG                                                   ,9,Healthcare      ,Drug Manufacturers - Major              ,1,DAX   ,Bayer AG develops; produces; and markets pharmaceuticals and health care products; agricultural products; and specialty materials worldwide. The companyâs Pharmaceuticals segment provides prescription pharmaceuticals for the treatment of hypertension; cardiovascular and infectious diseases; cancer; multiple sclerosis; and contraception. Its Consumer Health segment offers over-the-counter medications; dermatology products; nutritional supplements for humans and animals; veterinary medicines; and grooming products for animals; blood glucose meters; and injection systems and contrast agents for diagnostic procedures. The companyâs Crop Protection segment provides herbicides; fungicides; insecticides; and seed treatment products; products in the areas of seeds and plant traits and for gardens; and the green industry; and non-agricultural pest and weed control products. Its MaterialScience segment provides materials in the field of polyurethanes and polycarbonates; coating and adhesive raw materials primarily to protect automobiles; aircraft; and wind turbines; functional films; and inorganic basic chemicals; such as chlorine; sodium hydroxide solution; hydrogen; hydrochloric acid; and nitric acid. The company has a strategic alliance with OncoMed Pharmaceuticals; Inc. to research; develop; and market novel therapeutics to control cancer stem cells; and German Cancer Research Center for developing approaches for anticancer drugs. Bayer AG was founded in 1863 and is headquartered in Leverkusen; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
5,BEI   ,Beiersdorf AG                                              ,4,Consumer Goods  ,Personal Products                       ,1,DAX   ,Beiersdorf Aktiengesellschaft engages in the manufacture and distribution of consumer goods in Europe; the Americas; Africa; Asia; and Australia. It operates in two segments; Consumer business and tesa business. The Consumer Business segment offers skin and beauty care products primarily under the NIVEA; Eucerin; La Prairie; SBT (skin biology therapy); Florena; Labello; 8x4; Hansaplast; and SLEK brand names. The tesa Business segment manufactures and sells self-adhesive system and product solutions. This segment offers its products for use in electronics; printing; paper; packaging; and automotive industries; for crafts businesses; and for daily use in office; home; and garden. The company was founded in 1882 and is headquartered in Hamburg; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
6,BMW   ,Bayerische Motoren Werke Aktiengesellschaft                ,4,Consumer Goods  ,Auto Manufacturers - Major              ,1,DAX   ,Bayerische Motoren Werke Aktiengesellschaft; together with its subsidiaries; engages in the manufacture and sale of cars and motorcycles worldwide. Its Automotive segment develops; manufactures; assembles; and sells cars and off-road vehicles under the BMW; MINI; and Rolls-Royce brands; as well as offers spare parts and accessories. This segment sells its cars and off-road vehicles through independent and authorized dealers. The companyâs Motorcycles segment is involved in the development; manufacture; assembly; and sale of BMW and Husqvarna branded motorcycles; as well as provides spare parts and accessories. Its Financial Services segment primarily engages in car leasing; fleet business; retail customer and dealer financing; customer deposit business; and insurance activities. The company has a strategic collaboration with Toyota Motor Corporation for research in the field of lithium-ion battery cells. Bayerische Motoren Werke Aktiengesellschaft was founded in 1916 and is headquartered in Munich; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
7,CBK   ,Commerzbank AG                                             ,5,Financial       ,Money Center Banks                      ,1,DAX   ,Commerzbank Aktiengesellschaft provides banking and other financial services to private and corporate clients; and institutional investors worldwide. It operates in five operating segments: Private Customers; Mittelstandsbank; Central and Eastern Europe; Corporates and Markets; and Non-Core Assets. It offers deposit; loan; security; payment transaction; and pension products; wealth management services; such as securities management/portfolio management; credit management; and loans and real estate management services; advice on trust and inheritance issues; and corporate investments; Internet-based advisory and services; open-ended real estate funds; closed-end funds for real estate; aircraft; ships; and renewable energy; and institutional investments and structured investments; as well as equipment leasing. The company also provides payments and cash management solutions; flexible financing solutions; interest rate and currency management products; professional investment advisory services; and investment banking solutions to small and mid-sized customers; the public sector; and institutional clients. In addition; it engages in the trading and sale of equity and commodity-related financial products; as well as interest rate; credit; and currency instruments. Further; the company offers arrangement and advisory services for equity; debt; and hybrid instruments; and mergers and acquisitions; as well as provides securitization solutions and ship financing services.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
8,CON   ,Continental AG                                             ,4,Consumer Goods  ,Rubber & Plastics                       ,1,DAX   ,Continental Aktiengesellschaft provides various products and services primarily for the automotive industry worldwide. The companyâ€™s Chassis & Safety division develops and produces electronic and hydraulic brake systems; sensorics; passive safety and advanced driver assistance systems (ADAS); and chassis components. Its Powertrain division offers gasoline and diesel systems; including sensors; actuators; and tailor-made electronics; fuel supply systems; engine management; and transmission control units; and systems and components for hybrid and electric drives. The companyâ€™s Interior division provides instrument clusters and displays; climate and haptic controls; integrated centerstacks; and cockpit modules; infotainment systems; electronic systems that enable vehicle access and control driving authorization; and tachographs telematics and services; brake parts; vehicle electronics; and original equipment services. Continental Aktiengesellschaftâ€™s Tires division develops and manufactures passenger and light truck tires for compact; mid- range; and luxury segment vehicles; SUVs; vans; light trucks; and RVs; and bicycles and motorcycles. This division produces tires under the Continental; Uniroyal; Semperit; General Tire; Viking; Gislaved; Euzkadi; Sime Tyres; Barum; Mabor; and Matador brand names. It also develops and manufactures truck; bus; industrial; and off-road tires for commercial vehicles under the Barum; Semperit; Uniroyal; Matador; General Tire; Ameri*Steel; Euzkadi; Sime Tyres; Continental; Simex; and Novum brands. The companyâ€™s ContiTech division develops and produces functional parts; components; and systems for the automotive; printing; mining; and commercial vehicle; machinery and plant construction; aviation and aerospace; and railway engineering industries. Continental Aktiengesellschaft was founded in 1871 and is headquartered in Hanover; Germany.                                                                                             
9,DAI   ,Daimler AG                                                 ,4,Consumer Goods  ,Auto Manufacturers - Major              ,1,DAX   ,Daimler AG develops; manufactures; distributes; and sells passenger cars and off-road vehicles; trucks; vans; buses; and related spare parts and accessories. The company operates in five segments: Mercedes-Benz Cars; Daimler Trucks; Mercedes-Benz Vans; Daimler Buses; and Daimler Financial Services. The Mercedes-Benz Cars segment sells passenger cars and off-road vehicles under the Mercedes-Benz; smart; and Maybach brand names. The Daimler Trucks segment distributes trucks under the Mercedes-Benz; Freightliner; Western Star; and Fuso brand names. The Mercedes-Benz Vans segment primarily sells vans under the Mercedes-Benz brand name. The Daimler Buses segment sells completely built-up buses under the Mercedes-Benz; Setra; and Orion brand names; and produces and sells bus chassis. The Daimler Financial Services segment provides financing and leasing packages for customers and dealers; and services; such as insurance; fleet management; investment products; car sharing; and credit cards. It serves customers primarily in Germany and rest of western Europe; the United States; and China and rest of Asia. The company was founded in 1883 and is headquartered in Stuttgart; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
10,DB1   ,Deutsche Boerse AG                                         ,5,Financial       ,Asset Management                        ,1,DAX   ,Deutsche Borse Aktiengesellschaft; a stock exchange organization; provides investors; financial institutions; and companies with access to capital markets in Europe; the Americas; and the Asia-Pacific. The companyâs activities cover securities and derivatives trading; clearing; settlement; and custody services; and market data and electronic trading systems. It operates in four segments: Xetra; Eurex; Clearstream; and Market Data & Analytics. The Xetra segment provides listing; trading; and clearing services for issuers; intermediaries; and investors in the cash market; including German and international issuersâ shares; fixed-income securities; exchange-traded funds; exchange-traded commodities; exchange-traded notes; actively managed mutual funds; and certificates and warrants. This segment also organizes trading on the floor of the Frankfurt Stock Exchange; as well as holds interests in Tradegate Exchange; a trading platform for private investors. The Eurex segment offers trading and clearing services in the derivatives market. This segment operates Eurex Exchange; which provides electronic access to exchange-traded derivatives; International Securities Exchange; Eurex Clearing; a central counterparty that offers clearing services for derivatives; repos; equities; and fixed-income securities for exchange-traded and off-exchange transactions; Eurex Bonds; an over-the-counter bond trading platform; and Eurex Repo; a marketplace for collateralized financing. The Clearstream segment provides post-trade infrastructure for the settlement and custody of securities of various asset classes. This segment extends its network to approximately 50 markets worldwide. The Market Data & Analytics segment offers indices as underlyings for financial products or as standard of comparison for the fund industry; as well as market signals; master data; and statistics. The company is headquartered in Eschborn; Germany.                                                             
